,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
11530,8972219,cozy apartment east village nyc,12933114,ausra,2,east village,40.72143,-73.97824,0,130,5,4,0.09,1,0
11531,8972807,cosy loft 20 mins manhattan,46888345,amélie,1,williamsburg,40.70666,-73.93788,1,53,3,1,0.02,1,0
11533,8973075,large private room great location,8595112,adrien,2,midtown,40.75531,-73.97147,1,140,1,13,0.29,2,0
11534,8973292,cozy upper east side two bedroom,1372837,manoj,2,upper east side,40.77595,-73.94969,0,295,4,0,0.0,1,0
11535,8973682,1 room apt near columbia univ,26271616,ian,2,upper west side,40.80101,-73.96076,1,98,2,1,0.02,2,0
11537,8974121,cozy sizeable sutton place studio,46815771,tide,2,midtown,40.75687,-73.96639,0,170,3,1,0.02,1,0
11541,8980303,serene brooklyn apt w terrace,9903826,robin,1,clinton hill,40.68713,-73.96226,2,99,3,0,0.0,1,0
11542,8984018,quaint 1br west village,3256202,kyle,2,chelsea,40.74044,-74.00326,0,225,1,0,0.0,1,0
11543,8984085,bedroom private bathroom rooftop duplex,4428757,benjamin,1,crown heights,40.6758,-73.93185,1,50,6,24,0.54,1,0
11545,8985856,1 bdr w private balcony fort greene,27670390,leigha,1,fort greene,40.69402,-73.97274,1,55,1,3,0.09,1,0
11546,8986308,king sized bed park slope,21293445,ryan,1,gowanus,40.66864,-73.99484,1,155,1,0,0.0,1,0
11547,8986585,williamsburg two bedroomtwo bath,46946480,danielle,1,williamsburg,40.71223,-73.94864,0,275,3,51,1.14,1,0
11548,8987285,beauty bedroom 1899 gem,2948932,natalie,1,bushwick,40.69689,-73.93333,1,65,2,6,0.13,1,156
11549,8987462,lux apt botanic garden museum,2932525,joel,1,crown heights,40.66352,-73.96005,0,170,3,28,0.62,1,0
11550,8988451,new york city living,46953097,lauren,0,concourse village,40.82705,-73.91337,1,95,2,6,0.14,1,173
11554,8990063,uwselevatorcentralsubwayspark,46962156,martha,2,upper west side,40.78172,-73.97825,0,190,1,0,0.0,1,0
11555,8990116,bright spacious 1 bedroom,5485733,jelena,1,williamsburg,40.70862,-73.95432,0,150,2,19,0.42,1,0
11556,8990988,happening hood bk,9060143,amelia,1,bushwick,40.69502,-73.93126,0,75,3,6,0.15,1,0
11558,8992666,newly reno 1br harlem brownstone,579126,banna,2,harlem,40.80307,-73.946,0,169,5,0,0.0,1,0
11559,8992714,thanksgiving beautiful bedstuy,40552516,henry,1,bedford-stuyvesant,40.6863,-73.92635,1,51,1,2,0.05,1,0
11561,8993461,one bedroom shared space,46976876,carolina,2,east village,40.72477,-73.98836,1,90,7,0,0.0,2,0
11565,8994025,sunny spacious room w private bathroom,12774739,stefan,1,bedford-stuyvesant,40.68654,-73.95044,1,40,5,12,0.28,1,0
11566,8994058,brooklyn bliss 1,44929652,lawanne,1,east flatbush,40.64335,-73.94888,1,60,2,9,0.21,4,361
11567,8994197,1 bedroom heart greenwich village soho,4974196,dan,2,greenwich village,40.72744,-73.99979,0,157,3,2,0.1,1,0
11568,8994423,1 bedroom lower east side,2599664,maria,2,lower east side,40.7154,-73.98473,0,170,1,1,0.02,1,0
11569,8995042,private room brooklyn,25077909,carlos,1,bedford-stuyvesant,40.68915,-73.92467,1,50,3,15,0.33,2,217
11570,8995426,manhattan skyline rm,13813923,maria,3,long island city,40.74417,-73.94964,1,55,1,33,2.1,2,293
11571,9002096,queen size bedroom full closet,47013708,mark,1,crown heights,40.67867,-73.96276,1,45,3,3,0.07,1,0
11574,9004969,new stylish nyc pad skylight,47022650,jillian,2,east harlem,40.79405,-73.93429,0,150,1,48,1.07,3,326
11577,9007591,lg top flr rm park slope brownstone,25344446,philip,1,park slope,40.67037,-73.97637,1,105,5,32,0.71,2,312
11579,9010782,quiet spacious luxury townhouse,7324559,william,2,lower east side,40.71067,-73.98695,1,180,1,0,0.0,1,0
11580,9011614,bedstuy brownstone,31019553,miranda,1,bedford-stuyvesant,40.68466,-73.92576,0,150,1,1,0.02,1,0
11582,9013350,sunny clinton hill apartment,4048695,deniz,1,clinton hill,40.68724,-73.96361,0,120,2,28,0.64,1,294
11583,9014126,cozy bedroom east village,24622525,hannah,2,east village,40.7268,-73.98027,1,89,1,0,0.0,1,0
11584,9014320,cute doublebed lower east side,36228511,nieve,2,east village,40.72247,-73.98435,1,100,1,5,0.12,1,0
11585,9015649,charming duplex morningside heightsprivate floor,47076540,edlira,2,morningside heights,40.81111,-73.95465,1,125,1,27,2.87,1,80
11587,9022118,single room apartment share,8311526,sean,2,upper west side,40.79807,-73.96894,1,80,1,1,0.02,1,0
11588,9022913,stylish townhouse 2 large bedrooms ensuite bths,47104818,sebastian,1,bedford-stuyvesant,40.6899,-73.93228,1,249,3,5,0.45,3,360
11593,9024747,tranquil room,47113234,bryan,1,bushwick,40.69989,-73.92352,1,100,1,0,0.0,1,0
11594,9024874,beautiful apartment east village,410665,jayden,2,east village,40.7232,-73.98561,0,139,3,11,0.25,1,0
11595,9025421,charming comfy apt hip bushwick,4422465,isabel,1,bushwick,40.70288,-73.91506,0,89,4,5,0.12,1,2
11598,9026203,subwayoceanparking,31680304,alex & alena,1,gravesend,40.58892,-73.97379,1,70,3,67,1.53,2,40
11599,9026474,uws 1 brhigh ceilingscentral park,4619655,neil,2,upper west side,40.78487,-73.9754,0,125,1,0,0.0,1,0
11600,9026479,2 bedroom east village americana oasis,2266437,rachel,2,east village,40.72314,-73.97929,0,200,5,10,0.26,1,0
11602,9027607,bright west village apartment,19435113,mark,2,west village,40.73139,-74.00452,0,175,1,0,0.0,1,0
11603,9028399,lower east side gem,3754629,gina,2,lower east side,40.71873,-73.98394,0,150,1,0,0.0,1,0
11605,9028527,sunny duplex near central park,1584064,adrienne,2,harlem,40.80093,-73.95012,0,165,1,0,0.0,2,0
11607,9028839,3 bdroom apt montrose l,3248277,sara,1,williamsburg,40.70742,-73.94185,0,200,3,0,0.0,1,0
11609,9030997,artistic studio two,47139912,claude,2,upper east side,40.77029,-73.95812,0,110,3,69,1.78,1,5
11610,9031216,upstairs apartment private spacious,47140247,hilary,3,bellerose,40.72756,-73.71795,0,42,3,0,0.0,1,0
11611,9033081,steps museum art,39763202,kya & evan,1,crown heights,40.66869,-73.96022,0,150,2,11,0.24,1,0
11613,9035181,cute clinton hill brownstone apt,15055897,heather,1,clinton hill,40.6921,-73.96603,0,125,3,3,0.08,2,0
11614,9036422,columbus circlehells kitchen gem,45296989,patrick,2,upper west side,40.77188,-73.98847,0,125,7,4,0.1,1,0
11615,9037702,artists home chinatown b,254860,ricky,2,chinatown,40.71434,-73.99342,1,80,4,1,0.02,1,0
11616,9039236,sunny spacious washington heights,47176167,christopher,2,washington heights,40.8512,-73.93693,1,75,1,0,0.0,1,0
11617,9040796,lovely studio midtown,21716352,alice,2,kips bay,40.74208,-73.98084,0,120,1,4,0.1,1,0
11618,9040931,queen bedroom huge private bath,29213,angela,1,fort greene,40.68785,-73.97682,1,79,7,1,0.02,1,0
11619,9042254,beautiful spacious ev bedroom,47187008,francesca,2,east village,40.72737,-73.98605,1,90,7,0,0.0,1,0
11620,9043652,great 1 bedroom apartment heart soho,6304221,phil,2,soho,40.72038,-73.99818,0,190,2,10,0.97,1,41
11622,9043905,bright charming apt west villagesoho,3331710,amy,2,greenwich village,40.72874,-74.00122,0,200,2,29,0.65,1,0
11623,9045427,sunrise condominium apartment,47198995,diana,4,grymes hill,40.61201,-74.09513,0,200,1,1,0.02,1,0
11624,9045876,beautiful brownstone parlor floor,7380428,mel,2,harlem,40.81345,-73.94659,0,175,7,44,0.99,3,193
11625,9046095,private quaint west village gem,12995701,robyn,2,west village,40.73208,-74.00393,0,200,4,1,0.02,1,0
11627,9046808,sunny east harlem one bedroom,21647215,vadim,2,east harlem,40.79717,-73.93519,0,95,1,2,0.04,1,0
11628,9047417,king bedentire home downtown wifi,31153462,talia,2,lower east side,40.72176,-73.99345,0,140,7,3,0.07,1,0
11629,9047816,beautiful home 1 stop midtown,2660650,allan (& max),3,long island city,40.74977,-73.93979,1,100,4,46,1.18,1,284
11630,9048630,upper manhattan inwood beautiful,47212879,mary,2,inwood,40.86703,-73.93007,1,75,3,1,0.03,1,89
11631,9049505,spacious room west harlem,2413971,teresa,2,harlem,40.80193,-73.95573,1,74,1,0,0.0,1,0
11632,9049582,1 br spacious 2 br apt ues,47217135,cal,2,upper east side,40.7737,-73.95616,2,80,1,17,0.38,1,0
11633,9049607,room central spacious williamsburg loft,14456700,simone,1,williamsburg,40.71594,-73.95991,1,60,2,1,0.52,1,0
11635,9050144,sunny apt clinton hill brownstone,7360880,kay,1,bedford-stuyvesant,40.68532,-73.9571,1,80,1,2,0.05,1,0
11636,9050373,peaceful colorful brooklyn oasis near parktrain,1393469,tatiana,1,flatbush,40.65228,-73.96428,0,97,2,22,0.54,1,2
11637,9050597,charmingquiet relaxing,7407846,alison,2,harlem,40.82642,-73.93668,1,79,1,0,0.0,1,0
11638,9051314,private room fab east village,22007415,hannah,2,east village,40.72246,-73.97912,1,110,3,2,0.05,1,0
11639,9051437,bright spacious cozy,14544355,elizabeth,1,crown heights,40.66588,-73.95677,0,140,3,60,1.34,1,37
11640,9051763,room 3br condo free washerdryer,1283476,mark,1,bedford-stuyvesant,40.68758,-73.94572,1,57,5,14,0.37,2,216
11641,9052018,near museum mile central park,47228873,james,2,east harlem,40.78972,-73.9503,1,195,1,0,0.0,1,0
11643,9058854,bright sunny room crown heights,10701169,christine,1,crown heights,40.67192,-73.95116,1,50,3,1,0.03,1,0
11644,9059397,spacious apartment close 96st st,14614459,dario,2,upper east side,40.7837,-73.94877,0,180,1,1,0.02,4,0
11645,9061117,lovely 1br 15min times square,4087778,katie,3,sunnyside,40.74502,-73.91355,0,180,3,0,0.0,1,0
11646,9061331,sunny harlem penthouse,4186597,michael francis,2,harlem,40.80822,-73.94264,0,180,2,18,0.42,1,29
11647,9062257,spacious 1bedroom crown heights,6075567,yasmin,1,crown heights,40.67089,-73.94825,0,100,2,13,0.31,1,0
11648,9062515,adorable artsy 1br hip location,21804910,brinn,1,greenpoint,40.73258,-73.95582,0,175,2,21,1.4,1,38
11649,9063028,1bdr luxury 2bdr apt 45 floor,8113248,francesco,2,theater district,40.7594,-73.98634,1,210,3,0,0.0,2,0
11650,9063139,prime location tech entrepreneurs,13530279,chris,2,east village,40.72517,-73.99023,1,100,3,3,0.07,1,0
11651,9063266,sunny 1br heart williamsburg,47275801,eric,1,williamsburg,40.71256,-73.95224,0,250,2,1,0.02,1,0
11652,9063376,prethxgiving park slope large 2br,3819001,tracy,1,south slope,40.6647,-73.97791,0,55,3,0,0.0,2,0
11653,9063972,chill bushwick suite,3040551,olu bliss,1,bushwick,40.69709,-73.91435,1,80,3,0,0.0,1,0
11654,9064238,large 1bedroom midtown sleeps 14 people,4166175,rob,2,midtown,40.75454,-73.97083,0,103,6,0,0.0,1,0
11655,9064688,2 bedroom yard near l train,1606152,laura,1,williamsburg,40.70697,-73.94291,0,150,1,1,0.02,1,0
11656,9064714,1870s 3story house private bedroom,26379512,sheila,3,long island city,40.74495,-73.9557,1,90,3,34,1.02,1,3
11657,9065297,charming 2 bed aptuptown manhattan,17713747,polly,2,washington heights,40.85479,-73.93313,0,150,5,6,0.14,3,37
11658,9066389,cozy 2 bedroom heart les,47289872,kara,2,lower east side,40.72004,-73.99026,0,190,1,2,0.05,1,0
11659,9073600,upper east side 2 bedroom sleeps 4,6942997,deborah,2,upper east side,40.7834,-73.94556,0,95,2,0,0.0,1,0
11661,9074921,spacious williamsburg apartment,8163703,mariana,1,williamsburg,40.71238,-73.9559,0,150,3,12,0.28,1,0
11666,9078632,private room manhattan,42570179,joanne,2,washington heights,40.83559,-73.94552,1,75,2,53,1.18,1,0
11667,9078739,modern williamsburg loft great view,1453898,anthony,1,williamsburg,40.71254,-73.96849,1,80,2,38,0.89,3,0
11668,9079335,spacious apartment east village,3724325,anne-laure,2,east village,40.72162,-73.97923,0,185,2,4,0.09,1,0
11669,9079542,cozy room backyard bushwick,2123463,eyal,1,bushwick,40.69342,-73.91116,1,55,1,2,0.05,1,0
11670,9079628,spacious chill studio,46019410,regina,1,sheepshead bay,40.59631,-73.95743,0,98,2,12,0.27,1,320
11672,9080286,quiet room close subway,47353889,marcelo,1,prospect heights,40.67939,-73.97126,1,75,4,40,0.89,1,0
11673,9087285,modern upper east side studio,34398769,sean,2,upper east side,40.76773,-73.95456,0,145,1,3,0.07,1,0
11674,9089306,east village 1 bed clean clear,5671308,jordan,2,east village,40.73164,-73.98454,0,135,3,10,0.23,1,0
11675,9089397,hosting single travelers weekends,47394476,alexander,3,astoria,40.76352,-73.91353,1,50,2,1,0.02,1,0
11676,9090351,huge tribeca loft shared space 1br,47399155,dan,2,tribeca,40.72024,-74.00866,1,100,1,25,0.72,1,0
11677,9091373,cozy creative clinton hill,3829471,julian,1,bedford-stuyvesant,40.69045,-73.95852,1,100,6,0,0.0,1,0
11678,9091710,sunny east village apartment,47403089,kathleen,2,east village,40.72281,-73.97768,0,130,1,6,0.13,1,0
11679,9092024,enjoy private room soho,47406119,jacqueline,2,soho,40.72558,-74.00195,1,145,2,1,0.02,1,0
11680,9092331,large beautiful sunny room,47407352,dorota,2,inwood,40.86444,-73.92899,1,45,5,0,0.0,1,0
11681,9092903,cosy loft studio lots light,552067,miriam,1,williamsburg,40.70994,-73.94915,0,120,7,9,0.21,1,0
11682,9093219,serenity space,47411697,marie,2,harlem,40.81185,-73.94579,1,90,2,67,1.54,1,211
11683,9093261,large east village 1 bedroom,47036828,david,2,east village,40.732,-73.98518,0,190,1,0,0.0,1,0
11684,9093358,2 bedroom apt upper east side,8093077,annie,2,upper east side,40.76717,-73.95317,0,250,2,3,0.07,1,0
11685,9093389,studio apartment brooklyn,38738475,homero,1,park slope,40.67036,-73.97776,0,90,5,1,0.02,1,0
11687,9093991,beautiful east village apartment,4655737,saara,2,east village,40.72742,-73.98968,0,175,5,9,0.2,1,0
11689,9096478,open private room central harlem,47426195,shawn,2,harlem,40.80891,-73.94113,1,85,1,3,0.07,1,0
11690,9096630,apartment lower manhattan,23948552,chikezie,2,chinatown,40.71544,-73.99106,1,90,1,1,0.02,1,0
11691,9096938,sunny plantfilled park slope apt,14356,amy,1,south slope,40.66255,-73.983,1,70,6,9,0.21,1,0
11692,9104108,cozy large 1 br apt hamilton hts,47457325,miranda,2,harlem,40.8239,-73.95393,0,110,3,1,0.02,1,0
11696,9105853,cushy room cool bk neighborhood,32848328,barbra,1,bushwick,40.70107,-73.91983,1,55,1,0,0.0,1,0
11697,9106735,west village apartment,29721928,isabella,2,west village,40.73001,-74.00369,0,195,3,5,0.14,1,0
11699,9106907,2 private rooms price 1 downtown nyc,23338493,ryan,2,chinatown,40.71665,-73.99633,1,104,3,65,1.46,1,0
11700,9107046,charming room east village ny,4336010,audrey,2,east village,40.72786,-73.98693,1,95,3,0,0.0,1,0
11701,9107118,bright loft style room bedstuy,42786873,geoffrey,1,bedford-stuyvesant,40.6948,-73.94161,1,45,1,2,0.04,1,0
11702,9107450,spacious 2br apt ues,3664194,michael,2,upper east side,40.78419,-73.94851,0,210,5,0,0.0,1,0
11704,9107681,dreamy brooklyn solarium nearby prospect park,16154600,kai,1,kensington,40.64584,-73.97303,1,40,4,1,0.02,1,0
11705,9107772,beautiful 1bedroom near columbia,4055295,sara,2,harlem,40.82673,-73.94995,0,100,2,17,0.39,1,0
11706,9107788,brownstone heart west village,301887,andres,2,west village,40.73658,-74.00121,0,295,4,2,0.05,1,0
11708,9108196,cozy room,45601111,dlb,3,laurelton,40.67106,-73.74833,1,34,2,71,1.72,5,282
11709,9108295,2 bedroom apt bushwick brooklyn,2581079,harriet,1,bushwick,40.70246,-73.91756,0,200,5,0,0.0,1,0
11710,9110077,room east williamsburg,19885346,mireia,1,williamsburg,40.70448,-73.94208,1,75,3,6,0.16,1,0
11712,9111561,east harlem cozy rustic apartment,35905254,rose,2,east harlem,40.79423,-73.94214,1,100,1,0,0.0,1,0
11713,9112240,charming east villageabc city 1 bedroom apt,2069753,jessica,2,east village,40.73014,-73.98019,0,185,2,2,0.06,1,0
11714,9112463,cozy 1 bedroom close manhattan,39916377,jaclyn,2,upper east side,40.76295,-73.95725,0,145,6,49,2.38,1,76
11715,9112676,classic luxury charm central park uws,1202621,lizzy and ryan,2,upper west side,40.78607,-73.97347,0,250,7,34,0.78,1,147
11716,9112776,spacious comfortable bk room,47489718,eric,1,bedford-stuyvesant,40.68516,-73.9533,1,55,2,0,0.0,1,0
11718,9113702,beautiful apartment harlem ny,47493116,elsa,2,harlem,40.8243,-73.94258,0,150,1,0,0.0,1,0
11719,9114642,large 1br brooklyn cottage,7390259,sean,1,williamsburg,40.71591,-73.95695,1,70,6,0,0.0,1,0
11720,9114773,cozy upper east side 1 bedroom apt,47408505,anya,2,upper east side,40.77038,-73.95829,0,195,4,4,0.09,1,0
11721,9115251,midtown east room,27012583,dasha,2,midtown,40.7606,-73.97181,1,86,1,3,0.07,1,0
11722,9115536,peaceful,47500192,satvic,1,prospect-lefferts gardens,40.66059,-73.95842,0,120,5,0,0.0,1,190
11723,9115832,lge bedroom 2 pers bushwick,47501348,margot,1,bushwick,40.69824,-73.93231,1,60,1,0,0.0,1,0
11724,9116018,fullsized harlem room style,12690012,sonskeshana,2,harlem,40.83013,-73.94112,1,65,3,17,0.39,1,280
11726,9116734,large fully renovated room brooklyn bedstuy,20318052,laura,1,bedford-stuyvesant,40.69587,-73.9453,1,55,2,67,1.72,2,110
11727,9116752,spacious modern brooklyn loft,8862886,rachel,1,bushwick,40.70842,-73.9208,0,150,2,40,0.9,1,0
11728,9116831,1 bedroom w garden williamsburg,3922367,christophe,1,williamsburg,40.71617,-73.95395,0,165,4,0,0.0,1,0
11729,9116868,gorgeous cozy studio w projector,8503277,cathy,2,east village,40.7281,-73.97952,0,100,5,3,0.07,1,0
11730,9117817,classy brownstone 5 fee extra beds,46644337,sha,1,bedford-stuyvesant,40.68357,-73.94126,0,149,2,26,0.67,3,360
11731,9117976,cozy artistic,41510712,jac,2,harlem,40.82827,-73.9493,1,36,1,1,0.02,1,0
11732,9118958,nice room private house,22420999,herman,3,richmond hill,40.69417,-73.83072,1,50,2,3,0.08,5,346
11733,9121896,1 red bedroom 3 bedrooms apt,7858210,maxime,2,harlem,40.81614,-73.94116,1,50,2,66,1.51,4,180
11734,9125862,luxury large onebedroom apartment,47541749,aline,2,midtown,40.75807,-73.96308,0,300,1,0,0.0,1,0
11735,9125917,cosy private room city,20233581,sofia,2,kips bay,40.73833,-73.98058,1,73,1,4,0.09,1,0
11737,9127011,luxury 1 bed apt heart chelsea,19627702,andrea,2,chelsea,40.74384,-73.99383,0,193,1,8,0.23,1,0
11738,9127163,quiet retreat exclusive access nyc attractions,47546771,june,3,holliswood,40.72402,-73.76828,1,79,3,4,0.31,1,180
11739,9128491,rooftop view brooklyn,47549695,lena,1,crown heights,40.67846,-73.96242,1,60,4,2,0.05,1,0
11740,9129113,private room bushwick brooklyn,17497762,marco,1,bushwick,40.69836,-73.9212,1,60,3,1,0.02,1,0
11742,9132614,room heart williamsburg,9870919,sebastian,1,williamsburg,40.71253,-73.96023,1,75,4,2,0.04,1,0
11744,9132760,private room upper east side,14829766,jake,2,upper east side,40.77549,-73.95196,1,235,1,2,0.04,1,0
11749,9136581,east village,47584049,jonathan,2,east village,40.72524,-73.9882,0,180,4,5,0.11,1,0
11750,9136814,nyc midtown apt near time square,44034234,jay,2,hell's kitchen,40.75911,-73.98932,0,185,6,10,0.23,1,0
11751,9137194,east village large studio,15278522,matt,2,east village,40.72479,-73.98849,0,225,2,1,0.02,1,0
11752,9137941,1 br ues apartment,4223044,alexandra,2,upper east side,40.77012,-73.95777,0,200,1,0,0.0,1,0
11753,9138319,huge 2br heart brooklyn,2264413,zachary,1,prospect-lefferts gardens,40.65838,-73.96048,0,150,2,9,0.21,1,6
11754,9138664,private lg room 15 min manhattan,47594947,iris,3,sunnyside,40.74271,-73.92493,1,74,2,6,0.13,1,5
11757,9145070,great deal steps central park,3025128,david,2,upper west side,40.77942,-73.97627,0,180,1,43,0.98,1,0
11758,9145150,lrg private bedroom williamsburg,31980952,emily,1,williamsburg,40.71076,-73.96328,1,50,3,2,0.05,1,0
11762,9146709,beautiful private rm trendy area,47627249,colin,1,bushwick,40.69907,-73.92723,1,50,7,1,0.02,1,0
11764,9147431,lge rm middle park slope brownstone,25344446,philip,1,park slope,40.67143,-73.97538,1,125,5,26,0.59,2,292
11766,9149182,,47636934,rob,2,kips bay,40.73975,-73.98073,0,139,1,1,0.02,1,0
11767,9149435,bright spacious park slope 1br,46561509,john,1,park slope,40.67286,-73.97133,0,220,1,0,0.0,1,0
11770,9151490,wdful 2 br2bth apt williamsbug,8133069,maria,1,williamsburg,40.70919,-73.94804,0,240,1,1,0.05,1,0
11771,9151677,light filled apt quiet street,40880743,soph,1,clinton hill,40.68481,-73.9656,0,115,5,1,0.02,1,0
11773,9152932,spacious duplex w additional loft,4313126,andy,1,bushwick,40.69844,-73.9334,0,200,1,1,0.02,2,0
11774,9152965,spacious duplex w additional loft,4313126,andy,1,bushwick,40.69885,-73.93371,0,200,10,1,0.02,2,0
11775,9153256,newly renovated 1bdr prime location,9787825,rebecca,2,flatiron district,40.74283,-73.99246,0,150,7,1,0.04,1,0
11776,9155206,2 baths 2 bedrooms penthouse,46644337,sha,1,bedford-stuyvesant,40.68271,-73.94038,0,165,2,53,1.24,3,289
11777,9155212,affordable cozy east village room,47661247,lydia,2,east village,40.72525,-73.98691,1,85,6,10,0.23,1,36
11778,9155475,prime chelsea 1br minimalist w16th,4900788,jonathan,2,chelsea,40.73868,-73.99647,0,130,2,4,0.1,1,0
11779,9155741,1 private bedroom,47663806,anshu,2,kips bay,40.7427,-73.98231,1,85,1,1,0.02,1,0
11781,9157504,23,47672492,jingyi,2,morningside heights,40.80447,-73.96621,1,120,1,0,0.0,1,0
11783,9165191,sunny garden facing bedroom,16947579,hayet,1,bedford-stuyvesant,40.68201,-73.93802,1,40,5,8,0.23,1,289
11784,9166769,zen state,44087298,catherine,2,washington heights,40.84699,-73.9362,1,55,7,24,0.54,2,0
11786,9168009,room available midtown west nyc,47577737,ye,2,midtown,40.7662,-73.98321,1,60,3,1,0.03,1,0
11787,9168809,guest room queen bed,47718277,steven and john,1,bedford-stuyvesant,40.68878,-73.93109,1,65,1,71,1.61,1,0
11789,9171140,private room prime williamsburg,12986471,grayson,1,williamsburg,40.71984,-73.9588,1,75,1,1,0.02,1,0
11791,9172192,2br 30days min less 30 book rooms below,47705853,katherine,2,hell's kitchen,40.75525,-73.99412,0,169,1,66,1.51,3,231
11792,9172277,chic rustic townhouse,6615642,derek,1,crown heights,40.67342,-73.9561,0,300,4,0,0.0,1,0
11793,9173061,walk times square more,8167329,katie,2,hell's kitchen,40.76236,-73.99261,0,95,1,6,0.14,1,0
11794,9173352,beautiful brooklyn apartment share yellow room,706623,emilia,1,bushwick,40.69513,-73.90881,1,69,1,0,0.0,4,334
11795,9174180,entire apartmentbrooklyn heights,12901128,yasmin,1,brooklyn heights,40.69927,-73.994,1,240,1,0,0.0,1,0
11796,9175286,quiet studio ues manhattan,47741973,agnieszka,2,upper east side,40.76935,-73.95381,0,120,3,1,0.02,1,0
11797,9175459,location location location meat packing district,10621862,shawn,2,chelsea,40.74236,-74.00656,0,180,4,13,0.35,1,4
11800,9182008,huge beautiful 2 bedroom apt best area,16176030,amal,3,ditmars steinway,40.77497,-73.91425,0,140,4,11,0.25,1,38
11801,9182754,charming apartment east village,9859148,jacob,2,east village,40.72603,-73.98614,0,200,1,1,0.02,1,0
11802,9183131,private room unique chelsea loft,872654,adam,2,chelsea,40.74406,-73.99287,1,139,1,3,0.07,1,0
11803,9184688,beautiful apt central park west,8737065,barbara and dan,2,upper west side,40.79644,-73.96135,0,250,7,0,0.0,1,0
11804,9184982,cozy bedroom harlem,31291159,sean,2,harlem,40.81686,-73.94129,1,47,7,2,0.04,1,0
11805,9185329,sunny spacious botanical greenpoint 1 bdrm,17615713,merrily,1,greenpoint,40.72697,-73.94712,0,108,7,19,0.43,1,21
11806,9185689,homiecozyartsywarmsweetharlem,47790612,hannah,2,harlem,40.81344,-73.95007,0,85,1,0,0.0,1,0
11808,9185754,tree grows brooklyn,46547144,jane,1,williamsburg,40.70782,-73.95462,1,60,1,2,0.05,1,0
11809,9186894,cozy large sunny bedroom greenpoint,6217827,krzysztof,1,greenpoint,40.73051,-73.95496,1,80,2,2,0.05,1,0
11810,9187221,sunny room heart bushwick,36297318,josh,1,bushwick,40.70269,-73.92626,1,60,1,0,0.0,1,0
11811,9187379,room 25 min time square midway lgajfk,1495355,john,3,forest hills,40.7232,-73.84426,1,50,1,9,0.42,2,0
11812,9191908,studio financial district,14340851,sophia,2,financial district,40.70437,-74.00952,0,120,2,0,0.0,1,0
11813,9193390,luxury stay near lincoln center nyc,47825300,sid,2,upper west side,40.77616,-73.98974,1,300,1,0,0.0,1,0
11815,9195534,park slope 1 bed roofdeck laundry,47835171,lynette,1,park slope,40.67384,-73.97765,1,100,1,0,0.0,1,0
11816,9196297,heart upper east side,34907341,ragan,2,upper east side,40.76579,-73.96168,1,65,2,24,0.54,1,0
11817,9196408,large sunny room west harlem,47838741,ibrahima,2,harlem,40.82411,-73.94404,1,65,5,2,0.05,1,159
11819,9197829,spacious bright comfortable,7897952,nima,1,gowanus,40.67652,-73.99682,0,132,1,1,0.02,1,0
11820,9199020,comfy sofa bed 1 bedroom apt,40236486,priscilla,2,washington heights,40.8398,-73.9385,2,35,1,25,0.63,3,55
11821,9199352,sunny charming soho studio,1459609,tift,2,greenwich village,40.72796,-74.00194,0,150,7,0,0.0,1,0
11822,9201458,gorgeous bedroom near central park,13794250,jackie,2,upper west side,40.78107,-73.97817,1,75,5,1,0.02,1,0
11823,9201479,chelsea nyc shared apartment,47860375,todd,2,chelsea,40.74188,-73.99865,1,100,1,2,0.05,1,0
11824,9201989,peaceful sundrenched apartment vibrant area,39939246,sara,1,clinton hill,40.68363,-73.96305,0,89,3,3,0.07,1,0
11825,9207023,clean private room bathroom,47886371,megan,1,midwood,40.62402,-73.97071,1,50,1,1,0.02,1,0
11826,9207124,west 57th street hilton club,25798603,jill,2,midtown,40.76331,-73.97911,1,300,3,0,0.0,1,0
11829,9211258,midtown hells kitch next timesq,36430529,bharathi,2,hell's kitchen,40.75997,-73.99265,0,250,2,0,0.0,1,0
11830,9211534,spacious private room rent,43846246,zoey,3,astoria,40.76547,-73.92079,1,70,1,0,0.0,1,0
11831,9211969,upper east side best,17634934,zahra,2,upper east side,40.78179,-73.947,0,135,1,0,0.0,1,0
11833,9214148,spacious one bedroom,47917120,christina,2,east harlem,40.78748,-73.95102,0,80,2,2,0.05,1,0
11834,9215307,beautiful room charming apt central williamsburg,3311487,scott,1,williamsburg,40.71292,-73.96215,1,90,1,46,1.04,3,16
11835,9216664,brand new chic buildingfort greene,1651250,shervin,1,fort greene,40.68766,-73.97837,1,100,1,1,0.03,2,0
11836,9217460,2 bedroom artists sunny top floor brownstone apt,19648898,debra,2,harlem,40.80542,-73.9455,0,90,3,1,0.03,1,0
11837,9217592,charming spacious brownstone apt,881301,camillia,1,clinton hill,40.68356,-73.96152,0,145,3,3,0.07,1,0
11838,9217707,sunny charming one bedroom,47932600,marina,3,rego park,40.7303,-73.86674,0,125,5,6,0.16,1,157
11839,9217745,artsy loft prime location,13318184,rebecca,1,williamsburg,40.70521,-73.93623,1,50,1,2,0.04,4,0
11840,9217837,quaint south slope retreat,8838044,aaron,1,south slope,40.66249,-73.98704,0,150,3,34,0.77,1,0
